Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.06.18,01,,0.010,,0.08,0.05,0.000,,0.004
2021.06.18,07,0.11,0.018,2.4,0.11,0.07,0.001,0.00,0.007
2021.06.18,13,,,,,,,,
2021.06.18,19,,,,,,,,
2021.06.17,01,,0.010,,0.11,0.07,0.000,,0.003
2021.06.17,07,0.11,0.018,2.7,0.13,0.08,0.001,0.01,0.004
2021.06.17,13,,0.023,,0.17,0.11,0.001,,0.014
2021.06.17,19,0.07,0.020,3.1,0.20,0.12,0.001,0.01,0.013
2021.06.16,01,,0.010,,0.09,0.06,0.000,,0.003
2021.06.16,07,0.15,0.018,1.5,0.11,0.07,0.001,0.01,0.005
2021.06.16,13,,0.023,,0.14,0.09,0.001,,0.012
2021.06.16,19,0.11,0.020,3.3,0.23,0.15,0.001,0.01,0.013
2021.06.15,01,,0.010,,0.07,0.04,0.000,,0.003
2021.06.15,07,0.07,0.016,1.7,0.09,0.05,0.001,0.01,0.007
2021.06.15,13,,0.024,,0.13,0.08,0.002,,0.010
2021.06.15,19,0.15,0.032,2.7,0.17,0.10,0.001,0.01,0.012
