Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
21.07.2022,1,,0.003,,,0.002
21.07.2022,7,0.07,,0.2,0.03,0.004
21.07.2022,13,,0.012,,,0.011
21.07.2022,19,0.07,,0.6,0.07,0.007
22.07.2022,1,,0.003,,,0.002
22.07.2022,7,0.07,,0.4,0.04,0.006
22.07.2022,13,,0.013,,,0.012
22.07.2022,19,0.07,,0.2,0.06,0.009
23.07.2022,1,,0.002,,,0.003
23.07.2022,7,0.07,,0.4,0.04,0.007
23.07.2022,13,,0.012,,,0.010
23.07.2022,19,0.08,,0.6,0.06,0.008
25.07.2022,1,,0.003,,,0.002
25.07.2022,7,0.07,,0.3,0.05,0.003
